Continent,City,Country,Population (2024)
Asia,Tokyo,Japan,37115035
Asia,Delhi,India,33807403
Asia,Shanghai,China,29867918
Asia,Dhaka,Bangladesh,23935652
Asia,Beijing,China,22189082
Asia,Mumbai,India,21673149
Asia,Osaka,Japan,18967459
Asia,Chongqing,China,17773923
Asia,Karachi,Pakistan,17648555
Asia,Istanbul,Turkey,16047350
Asia,Kolkata,India,15570786
Asia,Manila,Philippines,14941953
Asia,Guangzhou,China,14590096
Asia,Tianjin,China,14470873
Asia,Lahore,Pakistan,14407074
Asia,Bangalore,India,14008262
Asia,Shenzhen,China,13311855
Asia,Moscow,Russia,12712305
Asia,Chennai,India,12053697
Asia,Jakarta,Indonesia,11436004
Asia,Bangkok,Thailand,11233869
Asia,Hyderabad,India,11068877
Asia,Seoul,South Korea,10004840
Asia,Nanjing,China,9947548
Asia,Chengdu,China,9828110
Asia,London,United Kingdom,9748033
Asia,Tehran,Iran,9616007
Asia,Ho Chi Minh City,Vietnam,9567656
Asia,Nagoya,Japan,9556879
Asia,Xi An Shaanxi,China,9013837
Asia,Ahmedabad,India,8854444
Asia,Wuhan,China,8850850
Asia,Kuala Lumpur,Malaysia,8815630
Asia,Hangzhou,China,8419842
Asia,Suzhou,China,8350625
Asia,Surat,India,8330528
Asia,Baghdad,Iraq,7921134
Asia,Shenyang,China,7830377
Asia,Riyadh,Saudi Arabia,7820551
Asia,Hong Kong,Hong Kong,7725859
Asia,Foshan,China,7704935
Asia,Dongguan,China,7675146
Asia,Pune,India,7345848
Asia,Haerbin,China,6938008
Asia,Dalian,China,6217487
Asia,Singapore,Singapore,6119203
Asia,Qingdao,China,6104597
Asia,Zhengzhou,China,6014887
Asia,Ji Nan Shandong,China,5940698
Asia,Yangon,Myanmar,5709678
Asia,Saint Petersburg,Russia,5581707
Asia,Chittagong,Bangladesh,5513609
Asia,Fukuoka,Japan,5478076
Asia,Ankara,Turkey,5477087
Asia,Hanoi,Vietnam,5431801
Asia,Changsha,China,5027975
Asia,Urumqi,China,5005964
Asia,Jiddah,Saudi Arabia,4943210
Asia,Kunming,China,4861079
Asia,Changchun,China,4802447
Asia,Kabul,Afghanistan,4728384
Asia,Hefei,China,4727290
Asia,Ningbo,China,4659830
Asia,Shantou,China,4656525
Asia,New Taipei,Taiwan,4534877
Asia,Tel Aviv,Israel,4495727
Asia,Shijiazhuang,China,4454132
Asia,Jaipur,India,4308510
Asia,Nanning,China,4291463
Asia,Kozhikode,India,4243962
Asia,Taiyuan Shanxi,China,4226782
Asia,Malappuram,India,4184921
Asia,Changzhou,China,4085502
Asia,Lucknow,India,4038214
Asia,Nanchang,China,4016037
Asia,Wenzhou,China,4009531
Asia,Xiamen,China,4007468
Asia,Fuzhou Fujian,China,3998754
Asia,Tangshan Hebei,China,3925206
Asia,Bekasi,Indonesia,3830678
Asia,Faisalabad,Pakistan,3800193
Asia,Guiyang,China,3661446
Asia,Thrissur,India,3605238
Asia,Kochi,India,3507053
Asia,Wuxi,China,3498740
Asia,Busan,South Korea,3477419
Asia,Mashhad,Iran,3415532
Asia,Sanaa,Yemen,3407814
Asia,Indore,India,3393380
Asia,Lanzhou,China,3365910
Asia,Kuwait City,Kuwait,3353602
Asia,Kanpur,India,3286142
Asia,Pyongyang,North Korea,3183135
Asia,Depok,Indonesia,3133298
Asia,Izmir,Turkey,3120340
Asia,Nagpur,India,3106340
Asia,Surabaya,Indonesia,3088748
Asia,Handan,China,3085998
Asia,Coimbatore,India,3083721
Asia,Huaian,China,3071048
Asia,Zhongshan,China,3051065
Asia,Dubai,United Arab Emirates,3051016
Asia,Weifang,China,2994537
Asia,Thiruvananthapuram,India,2984154
Asia,Shizuoka,Japan,2935527
Asia,Shaoxing,China,2882171
Asia,Incheon,South Korea,2861686
Asia,Yantai,China,2834508
Asia,Zibo,China,2828435
Asia,Huizhou,China,2827610
Asia,Taipei,Taiwan,2766334
Asia,Bandung,Indonesia,2714215
Asia,Damascus,Syria,2685361
Asia,Luoyang,China,2666744
