City,Country,Continent,Population (2024),Population (2023),Growth Rate
Nantong,China,Asia,2555722,2492230,0.0255
Peshawar,Pakistan,Asia,2480546,2411785,0.0285
Medan,Indonesia,Asia,2479070,2439054,0.0164
Gujranwala,Pakistan,Asia,2479058,2415416,0.0263
Baku,Azerbaijan,Asia,2464162,2432304,0.0131
Hohhot,China,Asia,2443686,2380636,0.0265
Rawalpindi,Pakistan,Asia,2430388,2377325,0.0223
Agra,India,Asia,2422342,2367554,0.0231
Kannur,India,Asia,2405664,2346137,0.0254
Beirut,Lebanon,Asia,2402485,2421354,-0.0078
Liuzhou,China,Asia,2397410,2343452,0.023
Visakhapatnam,India,Asia,2385110,2330928,0.0232
Baotou,China,Asia,2381242,2334878,0.0199
Vadodara,India,Asia,2373365,2324084,0.0212
Phnom Penh,Cambodia,Asia,2352680,2281198,0.0313
Sendai,Japan,Asia,2341433,2342302,-0.0004
Taoyuan,Taiwan,Asia,2338724,2318850,0.0086
Xuzhou,China,Asia,2332531,2287166,0.0198
Aleppo,Syria,Asia,2317650,2203025,0.052
Esfahan,Iran,Asia,2294589,2258396,0.016
Nashik,India,Asia,2294299,2237369,0.0254
Vijayawada,India,Asia,2290785,2229765,0.0274
Amman,Jordan,Asia,2252688,2232240,0.0092
Putian,China,Asia,2250104,2176022,0.034
Multan,Pakistan,Asia,2205407,2154600,0.0236
Wuhu Anhui,China,Asia,2195262,2124797,0.0332
Mecca,Saudi Arabia,Asia,2184560,2149928,0.0161
Kollam,India,Asia,2181940,2106606,0.0358
Daegu,South Korea,Asia,2179929,2180997,-0.0005
Yangzhou,China,Asia,2175102,2131291,0.0206
Taizhou Zhejiang,China,Asia,2152226,2102143,0.0238
Baoding,China,Asia,2149703,2107539,0.02
Linyi Shandong,China,Asia,2120049,2076364,0.021
Bursa,Turkey,Asia,2115513,2086324,0.014
Rajkot,India,Asia,2096981,2043107,0.0264
Hiroshima,Japan,Asia,2062884,2067591,-0.0023
Haikou,China,Asia,2056646,2016092,0.0201
Daqing,China,Asia,2044371,2000656,0.0219
Lianyungang,China,Asia,2035631,1986439,0.0248
Yancheng Jiangsu,China,Asia,2034326,1993463,0.0205
Almaty,Kazakhstan,Asia,2015209,1987301,0.014
Semarang,Indonesia,Asia,2013571,1975306,0.0194
Hyderabad,Pakistan,Asia,2011964,1967684,0.0225
Davao City,Philippines,Asia,1991457,1949400,0.0216
Ludhiana,India,Asia,1988438,1951085,0.0191
Can Tho,Vietnam,Asia,1938915,1865172,0.0395
Zhuhai,China,Asia,1930373,1889829,0.0215
Quanzhou,China,Asia,1920733,1869994,0.0271
Datong,China,Asia,1913674,1873693,0.0213
Sharjah,United Arab Emirates,Asia,1872199,1830858,0.0226
Madurai,India,Asia,1871912,1834279,0.0205
Raipur,India,Asia,1871107,1816813,0.0299
Adana,Turkey,Asia,1856638,1835895,0.0113
Palembang,Indonesia,Asia,1852673,1818421,0.0188
Mosul,Iraq,Asia,1847691,1792020,0.0311
Cixi,China,Asia,1840039,1788871,0.0286
Meerut,India,Asia,1835403,1797805,0.0209
Gaziantep,Turkey,Asia,1833006,1804704,0.0157
Batam,Indonesia,Asia,1806147,1748142,0.0332
Jiangmen,China,Asia,1797469,1768511,0.0164
Varanasi,India,Asia,1789047,1754425,0.0197
Xiangyang,China,Asia,1772318,1742706,0.017
Yichang,China,Asia,1758100,1711244,0.0274
Yinchuan,China,Asia,1757699,1716591,0.0239
Shiraz,Iran,Asia,1742750,1720954,0.0127
Srinagar,India,Asia,1737502,1698277,0.0231
Tiruppur,India,Asia,1731862,1677173,0.0326
Jamshedpur,India,Asia,1730521,1695060,0.0209
Suqian,China,Asia,1726327,1664968,0.0369
Aurangabad,India,Asia,1725283,1683389,0.0249
Qinhuangdao,China,Asia,1723728,1680962,0.0254
Anshan,China,Asia,1713452,1689499,0.0142
Xining,China,Asia,1705078,1666605,0.0231
Makassar,Indonesia,Asia,1704930,1673094,0.019
Hengyang,China,Asia,1702012,1661854,0.0242
Novosibirsk,Russia,Asia,1701510,1694765,0.004
Ulaanbaatar,Mongolia,Asia,1699363,1672627,0.016
Jilin,China,Asia,1693701,1668785,0.0149
Anyang,China,Asia,1693375,1642347,0.0311
Tabriz,Iran,Asia,1678028,1660737,0.0104
Muscat,Oman,Asia,1676167,1650319,0.0157
Qiqihaer,China,Asia,1662407,1635458,0.0165
Jodhpur,India,Asia,1625325,1586547,0.0244
Kathmandu,Nepal,Asia,1621642,1571010,0.0322
Karaj,Iran,Asia,1603011,1593608,0.0059
Medina,Saudi Arabia,Asia,1598976,1572571,0.0168
Jining Shandong,China,Asia,1595963,1569560,0.0168
Abu Dhabi,United Arab Emirates,Asia,1593284,1566999,0.0168
Ranchi,India,Asia,1584237,1547258,0.0239
Daejon,South Korea,Asia,1581705,1577436,0.0027
Zhangjiakou,China,Asia,1568122,1536171,0.0208
Mandalay,Myanmar,Asia,1563021,1531860,0.0203
Gaoxiong,Taiwan,Asia,1559085,1552899,0.004
Kota,India,Asia,1558468,1516795,0.0275
Jabalpur,India,Asia,1551004,1522121,0.019
Huainan,China,Asia,1538603,1512668,0.0171
Asansol,India,Asia,1534081,1505033,0.0193
Yekaterinburg,Russia,Asia,1532970,1527728,0.0034
Gwangju,South Korea,Asia,1532902,1529472,0.0022
Yiwu,China,Asia,1525749,1483320,0.0286
Chaozhou,China,Asia,1520628,1496298,0.0163
Gwalior,India,Asia,1508846,1475016,0.0229
Ganzhou,China,Asia,1508037,1459678,0.0331
Homs,Syria,Asia,1499603,1443429,0.0389
Allahabad,India,Asia,1493346,1465152,0.0192
Basra,Iraq,Asia,1485156,1448124,0.0256
Amritsar,India,Asia,1480470,1451748,0.0198
