Continent,City,Country,Population (2024)
North America,Mexico City,Mexico,22505315
North America,New York,United States,7931147
North America,Toronto,Canada,6431430
North America,Guadalajara,Mexico,5499678
North America,Monterrey,Mexico,5195355
North America,Montreal,Canada,4341638
North America,Los Angeles,United States,3748640
North America,Puebla,Mexico,3394342
North America,Guatemala City,Guatemala,3159631
North America,Port Au Prince,Haiti,3060169
North America,Vancouver,Canada,2682509
North America,Toluca De Lerdo,Mexico,2674336
North America,Chicago,United States,2590002
North America,San Juan,Puerto Rico,2436620
North America,Houston,United States,2305889
North America,Tijuana,Mexico,2297216
North America,Panama City,Panama,2015735
North America,Leon De Los Aldamas,Mexico,1924435
North America,La Laguna,Mexico,1826135
North America,Phoenix,United States,1676481
North America,Calgary,Canada,1665023
North America,Tegucigalpa,Honduras,1609261
North America,Ciudad Juarez,Mexico,1604085
North America,Edmonton,Canada,1567615
North America,Philadelphia,United States,1533916
North America,San Antonio,United States,1506593
North America,San Jose,Costa Rica,1482460
North America,Ottawa,Canada,1451571
North America,Queretaro,Mexico,1436818
North America,San Diego,United States,1375452
North America,Dallas,United States,1295447
North America,San Luis Potosi,Mexico,1292133
North America,Merida,Mexico,1239654
North America,Mexicali,Mexico,1196982
North America,Aguascalientes,Mexico,1179301
North America,Cuernavaca,Mexico,1140169
North America,Chihuahua,Mexico,1135342
North America,San Salvador,El Salvador,1123376
North America,Managua,Nicaragua,1107118
North America,Tampico,Mexico,1062567
North America,Saltillo,Mexico,1050320
North America,Cancun,Mexico,1045005
North America,Acapulco De Juarez,Mexico,1032772
North America,San Pedro Sula,Honduras,1008220
North America,Morelia,Mexico,1002461
North America,Jacksonville,United States,990931
North America,Fort Worth,United States,989842
North America,Austin,United States,983126
North America,Veracruz,Mexico,968070
North America,Reynosa,Mexico,967627
North America,Villahermosa,Mexico,958118
North America,San Jose,United States,932636
North America,Hermosillo,Mexico,929961
North America,Charlotte,United States,920325
North America,Tuxtla Gutierrez,Mexico,913075
North America,Columbus,United States,909676
North America,Culiacan,Mexico,903910
North America,Indianapolis (balance),United States,874089
North America,Quebec City,Canada,851061
North America,Winnipeg,Canada,849251
North America,Xalapa,Mexico,822863
North America,Hamilton,Canada,786843
North America,Seattle,United States,757992
