Continent,City,Country,Population (2024)
Africa,Cairo,Egypt,22623874
Africa,Kinshasa,DR Congo,17032322
Africa,Lagos,Nigeria,16536018
Africa,Luanda,Angola,9651032
Africa,Dar Es Salaam,Tanzania,8161231
Africa,Khartoum,Sudan,6542070
Africa,Johannesburg,South Africa,6324351
Africa,Abidjan,Ivory Coast,5866704
Africa,Addis Ababa,Ethiopia,5703628
Africa,Alexandria,Egypt,5696131
Africa,Nairobi,Kenya,5541172
Africa,Cape Town,South Africa,4977833
Africa,Yaounde,Cameroon,4681768
Africa,Kano,Nigeria,4490734
Africa,Douala,Cameroon,4203108
Africa,Ekurhuleni,South Africa,4190832
Africa,Kampala,Uganda,4050826
Africa,Antananarivo,Madagascar,4048666
Africa,Abuja,Nigeria,4025735
Africa,Ibadan,Nigeria,4004316
Africa,Casablanca,Morocco,3950408
Africa,Kumasi,Ghana,3903481
Africa,Port Harcourt,Nigeria,3636547
Africa,Dakar,Senegal,3540462
Africa,Lusaka,Zambia,3324219
Africa,Durban,South Africa,3262128
Africa,Bamako,Mali,3050570
Africa,Mbuji Mayi,DR Congo,3022855
Africa,Algiers,Algeria,2952115
Africa,Lubumbashi,DR Congo,2933962
Africa,Pretoria,South Africa,2889899
Africa,Mogadishu,Somalia,2726815
Africa,Accra,Ghana,2721165
Africa,Tunis,Tunisia,2510673
Africa,Conakry,Guinea,2178596
Africa,Havana,Cuba,2152518
Africa,Lome,Togo,2042734
Africa,Rabat,Morocco,1989197
Africa,Benin City,Nigeria,1972558
Africa,Matola,Mozambique,1915035
Africa,Kananga,DR Congo,1738716
Africa,Monrovia,Liberia,1735365
Africa,Onitsha,Nigeria,1694913
Africa,N Djamena,Chad,1655618
Africa,Harare,Zimbabwe,1603201
Africa,Nouakchott,Mauritania,1552146
Africa,Niamey,Niger,1496258
Africa,Mombasa,Kenya,1495223
Africa,Kisangani,DR Congo,1483513
Africa,Uyo,Nigeria,1393453
Africa,Mwanza,Tanzania,1378014
Africa,Tanger,Morocco,1348848
Africa,Freetown,Sierra Leone,1347559
Africa,Lilongwe,Malawi,1333096
Africa,Abomey Calavi,Benin,1314916
Africa,Fes,Morocco,1313311
Africa,Port Elizabeth,South Africa,1312631
Africa,Bukavu,DR Congo,1308469
Africa,Nnewi,Nigeria,1300993
Africa,Kigali,Rwanda,1287952
Africa,Bujumbura,Burundi,1277050
Africa,Aba,Nigeria,1230407
Africa,Kaduna,Nigeria,1221451
Africa,Maputo,Mozambique,1193253
Africa,Tripoli,Libya,1192436
Africa,Bobo Dioulasso,Burkina Faso,1185053
Africa,Hargeysa,Somalia,1176617
Africa,Ikorodu,Nigeria,1145224
Africa,Tshikapa,DR Congo,1131226
Africa,Sekondi Takoradi,Ghana,1119534
Africa,Asmara,Eritrea,1111748
Africa,Nyala,Sudan,1101314
Africa,Blantyre Limbe,Malawi,1070625
Africa,Marrakech,Morocco,1067172
Africa,Ilorin,Nigeria,1063713
Africa,Warri,Nigeria,1031425
Africa,Owerri,Nigeria,1022922
Africa,Nampula,Mozambique,1012582
Africa,Misratah,Libya,1011119
Africa,Lubango,Angola,1003016
Africa,Jos,Nigeria,1001155
Africa,Agadir,Morocco,998146
Africa,Oran,Algeria,950768
Africa,West Rand,South Africa,947734
Africa,Cabinda,Angola,947634
Africa,Umuahia,Nigeria,947460
Africa,Soshanguve,South Africa,905868
Africa,Lokoja,Nigeria,885882
Africa,Libreville,Gabon,883920
Africa,Enugu,Nigeria,875552
Africa,Banghazi,Libya,870502
Africa,Maiduguri,Nigeria,870201
Africa,Bunia,DR Congo,856339
Africa,Benguela,Angola,843207
Africa,Zanzibar,Tanzania,835850
Africa,Malanje,Angola,822471
Africa,Vereeniging,South Africa,802900
Africa,Oshogbo,Nigeria,795808
Africa,Merca,Somalia,793545
Africa,Bur Sa'id,Egypt,792925
Africa,Kitwe,Zambia,792350
Africa,Zaria,Nigeria,786197
Africa,Goma,DR Congo,781875
Africa,Akure,Nigeria,773141
Africa,Tamale,Ghana,757506
Africa,Huambo,Angola,751297
