Continent,City,Country,Population (2024)
Europe,Paris,France,11276701
Europe,Madrid,Spain,6783241
Europe,Barcelona,Spain,5711917
Europe,Rome,Italy,4331974
Europe,Berlin,Germany,3576873
Europe,Milan,Italy,3160631
Europe,Athens,Greece,3154591
Europe,Kiev,Ukraine,3020228
Europe,Lisbon,Portugal,3014607
Europe,Birmingham,United Kingdom,2684807
Europe,Naples,Italy,2180027
Europe,Brussels,Belgium,2132178
Europe,Minsk,Belarus,2064733
Europe,Vienna,Austria,1990487
Europe,West Yorkshire,United Kingdom,1942470
Europe,Turin,Italy,1805727
Europe,Warsaw,Poland,1799451
Europe,Hamburg,Germany,1787280
Europe,Budapest,Hungary,1780391
Europe,Lyon,France,1774395
Europe,Bucharest,Romania,1767520
Europe,Stockholm,Sweden,1719604
Europe,Marseille,France,1635707
Europe,Munich,Germany,1584507
Europe,Zurich,Switzerland,1443349
Europe,Kharkiv,Ukraine,1418978
Europe,Belgrade,Serbia,1410697
Europe,Copenhagen,Denmark,1391205
Europe,Helsinki,Finland,1346810
Europe,Porto,Portugal,1329301
Europe,Sofia,Bulgaria,1287540
Europe,Dublin,Ireland,1284551
Europe,Amsterdam,Netherlands,1181817
Europe,Cologne,Germany,1149014
Europe,Oslo,Norway,1100868
Europe,Lille,France,1085199
Europe,Toulouse,France,1070746
Europe,Antwerp,Belgium,1061089
Europe,Rotterdam,Netherlands,1021919
Europe,Bordeaux,France,1009594
Europe,Odesa,Ukraine,1007596
Europe,Nice,France,951808
Europe,Dnipro,Ukraine,936766
Europe,Liverpool,United Kingdom,922871
Europe,Bergamo,Italy,918675
Europe,Donetsk,Ukraine,882209
Europe,Palermo,Italy,850233
Europe,Valencia,Spain,839770
Europe,Bologna,Italy,816848
Europe,Thessaloniki,Greece,814980
Europe,Frankfurt,Germany,800529
Europe,Krakow,Poland,769396
Europe,Sheffield,United Kingdom,751303
