City,Country,Continent,Population (2024),Population (2023),Growth Rate
Brisbane,Australia,Oceania,2536449,2504505,0.0128
Perth,Australia,Oceania,2143491,2117997,0.012
Auckland,New Zealand,Oceania,1692770,1673220,0.0117
Adelaide,Australia,Oceania,1379280,1366783,0.0091
